Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Performance Period Rate,Number of  Patients Included in Hypercalcemia Measure Score Performance Period,Number of Hypercalcemia Patient Months Performance Period,Hypercalcemia Baseline Period Rate,Number of Hypercalcemia Patient Months Baseline Period,Hypercalcemia Performance Score Applied,NHSN Measure Score,NHSN Performance Period  Rate,Total number of eligible NHSN Patients,ICH CAHPS Admin Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2016 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of ownership record update
PERRY COUNTY DIALYSIS CENTERS,262604,,,12 N KINGSHIGHWAY,#100,PERRYVILLE,MO,63775,12,10,0%,18,0%,19,Achievement,9,97%,32,236,98%,266,Achievement,N/A,Insufficient data,3,14,Insufficient data,10,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,9,75%,28,275,83%,271,Achievement,7,8%,32,248,6%,267,Achievement,8,0,6%,37,290,4%,306,Achievement,8,0.358,48,10,6,10,78,No Reduction,06/18/2003,FRESENIUS MEDICAL CARE,06/19/2003
FMC OF PLEASANT RUN DIALYSIS,672540,,,900 N. POLK STREET,#146,DE SOTO,TX,75115,14,10,0%,89,0%,83,Achievement,3,89%,114,913,85%,871,Achievement,7,86%,18,156,72%,67,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,4,2,54%,97,987,52%,960,Achievement,8,5%,108,908,5%,890,Achievement,5,5,3%,162,1274,2%,1399,Achievement,8,0.265,177,10,5,10,70,No Reduction,06/02/2006,FRESENIUS MEDICAL CARE,02/08/2013
BMA OF DALLAS SOUTH,452679,,,1150 N BISHOP,#200,DALLAS,TX,75208,14,10,0%,96,0%,90,Achievement,8,95%,132,1097,93%,1028,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,1,52%,105,1126,49%,1066,Achievement,8,6%,111,1067,7%,966,Achievement,5,6,2%,153,1238,2%,1310,Achievement,7,0.524,221,10,8,10,78,No Reduction,09/07/1994,FRESENIUS MEDICAL CARE,02/02/2007
TYLERTOWN DIALYSIS,252559,,,4820 PLAZA DRIVE,#6,TYLERTOWN,MS,39667,8,10,0%,23,0%,22,Achievement,0,69%,75,295,73%,285,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,0,10,79%,25,254,69%,288,Achievement,8,5%,28,242,4%,283,Achievement,9,10,0%,29,223,1%,301,Achievement,4,1.192,111,10,10,10,73,No Reduction,01/10/2000,NOT A CHAIN,03/18/2006
PACHUTA DIALYSIS,252570,,,P.O. BOX 340,(180 EAST MAIN STREET),PACHUTA,MS,39347,8,10,0%,20,0%,19,Achievement,0,60%,23,231,97%,214,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,0,10,83%,21,242,84%,217,Achievement,10,2%,22,231,2%,206,Achievement,10,10,0%,21,193,0%,211,Achievement,4,1.032,23,10,10,10,74,No Reduction,12/10/2007,NOT A CHAIN,12/11/2007
FMC - PRINCE GEORGES COUNTY DIALYSIS,212611,,,7558 ANNAPOLIS ROAD   STE C-1,(BELOW MCDONALDS),LANHAM,MD,20784,5,10,0%,51,0%,44,Achievement,5,92%,67,506,90%,497,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,5,2,54%,58,540,53%,508,Achievement,6,10%,60,464,6%,490,Achievement,4,3,4%,72,556,5%,717,Achievement,7,0.509,127,10,6,10,67,No Reduction,03/07/2000,FRESENIUS MEDICAL CARE,03/08/2000
FRESENIUS MEDICAL CARE BETHLEHEM,392511,,,"2014 CITY LINE ROAD, SUITE 200",(REAR OF VALLEY ACCESS CENTER),BETHLEHEM,PA,18017,4,10,0%,76,0%,69,Achievement,8,95%,95,796,95%,763,Achievement,5,81%,23,154,93%,98,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,8,72%,96,967,64%,912,Achievement,6,9%,100,895,10%,851,Achievement,7,3,4%,151,1203,2%,1224,Achievement,3,1.269,146,10,8,4,65,No Reduction,07/01/1977,FRESENIUS MEDICAL CARE,01/01/2004
MOUNTAINSIDE HOSPITAL,310054,312331,,DIALYSIS UNIT,1 BAY AVENUE,MONTCLAIR,NJ,07042,3,2,1%,149,0%,149,Achievement,0,0%,66,77,0%,91,Achievement,0,2%,11,88,0%,99,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,0,0,49%,174,1785,52%,1727,Achievement,0,28%,190,1667,21%,1545,Achievement,0,5,3%,185,1392,3%,1364,Achievement,6,0.700,290,10,10,10,43,1.0%,11/09/1996,ATLANTIC HEALTH SYSTEM,11/02/2011
X-CLOSED WINTHROP UNIV HOSPITAL DIALYSIS CTR @ GLEN COVE,333538,,,GLEN GARIFF HEALTH CARE CENTER,"1 GLEN GARIFF DRIVE, ATT DIALYSI",GLEN COVE,NY,11542,2,N/A,Insufficient data,10,0%,15,N/A,7,94%,25,101,93%,198,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,8,71%,14,89,75%,197,Achievement,0,21%,17,88,13%,171,Achievement,4,10,0%,18,60,0%,212,Achievement,0,Not Reported,32,0,10,10,53,0.5%,06/30/2000,NOT A CHAIN,07/01/2014
BOSTON DIALYSIS CENTER (BMA BOSTON),222506,,,2100 DORCHESTER AVENUE,1 SOUTH,DORCHESTER,MA,02124,1,10,0%,51,0%,59,Achievement,10,98%,68,581,96%,649,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,7,70%,56,600,65%,662,Achievement,8,6%,61,560,8%,612,Achievement,8,5,3%,96,821,1%,951,Achievement,7,0.494,120,10,8,10,85,No Reduction,01/01/1983,FRESENIUS MEDICAL CARE,01/02/1980
